	ubuntu:12.04	ubuntu:14.04	ubuntu:16.04	ubuntu:17.04	ubuntu:18.04
ubuntu:12.04	1.0	0.6189483657034581	0.4740330686867215	0.47307008731937256	0.3430839589265683
ubuntu:14.04	0.6189483657034581	1.0	0.39535011240883916	0.3869562725657631	0.26812449524756166
ubuntu:16.04	0.4740330686867215	0.39535011240883916	1.0	0.8569725864123957	0.6757687012391005
ubuntu:17.04	0.47307008731937256	0.3869562725657631	0.8569725864123957	1.0	0.7676589303733602
ubuntu:18.04	0.3430839589265683	0.26812449524756166	0.6757687012391005	0.7676589303733602	1.0
